,Items,Frequence
0,58,3929
1,6,5207
2,67,21146
3,23,16579
4,15,44704
5,12,23712
6,56,6396
7,25,11202
8,29,28716
9,57,25215
10,16,8932
11,19,30714
12,34,11687
13,37,28031
14,14,18600
15,66,12808
16,69,29328
17,99,11238
18,11,6013
19,44,25332
20,55,16902
21,68,5106
22,24,9896
23,5,4743
24,7,5753
25,38,7302
26,13,10637
27,22,15234
28,45,17812
29,4,8363
30,33,18362
31,26,11548
32,2,7880
33,36,27405
34,9,3552
35,28,5419
36,79,14260
37,47,16954
38,39,12079
39,77,7978
40,46,20387
41,27,14272
42,59,8130
43,35,10150
44,49,11454
45,17,10416
46,89,2631
47,88,5252
48,3,6826
49,18,3042
50,1,5610
51,8,1168
52,48,4443
53,78,3713
54,10006,2
