Ranked,combination_dict,Blaster,Chrono,Cybernetic,DarkStar,Demolitionist,Infiltrator,ManaReaver,MechPilot,Mercenary,Protector,Rebel,Set3_Blademaster,Set3_Brawler,Set3_Celestial,Set3_Mystic,Set3_Sorcerer,Set3_Void,Sniper,SpacePirate,StarGuardian,Starship,TemplateTrait,Valkyrie,Vanguard
1,"{'Blaster': 4, 'Chrono': 2, 'Cybernetic': 2, 'Mercenary': 1, 'Rebel': 3, 'Set3_Blademaster': 1, 'Set3_Brawler': 4, 'Set3_Void': 1, 'Valkyrie': 2}",4,2,2,,,,,,1,,3,1,4,,,,1,,,,,,2,
1,"{'DarkStar': 3, 'Demolitionist': 1, 'Infiltrator': 4, 'MechPilot': 3, 'Set3_Mystic': 1, 'Set3_Sorcerer': 2, 'Set3_Void': 1, 'Valkyrie': 1}",,,,3,1,4,,3,,,,,,,1,2,1,,,,,,1,
1,"{'DarkStar': 1, 'Demolitionist': 3, 'Infiltrator': 1, 'MechPilot': 3, 'Mercenary': 1, 'Set3_Sorcerer': 6, 'Set3_Void': 1, 'SpacePirate': 1, 'StarGuardian': 3, 'TemplateTrait': 1}",,,,1,3,1,,3,1,,,,,,,6,1,,1,3,,1,,
1,"{'Chrono': 1, 'DarkStar': 3, 'Set3_Celestial': 2, 'Set3_Mystic': 2, 'Sniper': 2, 'SpacePirate': 1, 'StarGuardian': 1, 'Vanguard': 4}",,1,,3,,,,,,,,,,2,2,,,2,1,1,,,,4
1,"{'Blaster': 2, 'Demolitionist': 2, 'Mercenary': 2, 'Rebel': 6, 'Set3_Blademaster': 2, 'Set3_Celestial': 1, 'Set3_Mystic': 2, 'SpacePirate': 1, 'Starship': 1, 'Valkyrie': 2}",2,,,,2,,,,2,,6,2,,1,2,,,,1,,1,,2,
1,"{'Blaster': 2, 'Demolitionist': 2, 'Mercenary': 2, 'Rebel': 6, 'Set3_Blademaster': 1, 'Set3_Brawler': 1, 'Set3_Celestial': 2, 'Set3_Mystic': 2, 'Sniper': 1, 'SpacePirate': 1, 'Starship': 1, 'Valkyrie': 1}",2,,,,2,,,,2,,6,1,1,2,2,,,1,1,,1,,1,
1,"{'Blaster': 1, 'Demolitionist': 2, 'Mercenary': 1, 'Rebel': 6, 'Set3_Blademaster': 1, 'Set3_Brawler': 1, 'Set3_Celestial': 1, 'Set3_Mystic': 2, 'SpacePirate': 1, 'Starship': 1}",1,,,,2,,,,1,,6,1,1,1,2,,,,1,,1,,,
1,"{'Chrono': 2, 'Cybernetic': 1, 'DarkStar': 3, 'ManaReaver': 1, 'Set3_Celestial': 2, 'Set3_Mystic': 2, 'Sniper': 2, 'SpacePirate': 1, 'TemplateTrait': 1, 'Vanguard': 4}",,2,1,3,,,1,,,,,,,2,2,,,2,1,,,1,,4
1,"{'Blaster': 1, 'Chrono': 1, 'Cybernetic': 2, 'ManaReaver': 2, 'Mercenary': 1, 'Rebel': 1, 'Set3_Blademaster': 6, 'Set3_Celestial': 2, 'Set3_Mystic': 1, 'Valkyrie': 2, 'Vanguard': 0}",1,1,2,,,,2,,1,,1,6,,2,1,,,,,,,,2,0
1,"{'Blaster': 2, 'Demolitionist': 2, 'Mercenary': 2, 'Rebel': 6, 'Set3_Blademaster': 2, 'Set3_Celestial': 1, 'Set3_Mystic': 2, 'SpacePirate': 1, 'Starship': 1, 'Valkyrie': 1}",2,,,,2,,,,2,,6,2,,1,2,,,,1,,1,,1,
